"identified_name","difference","accepted_name","identified_rank","accepted_rank","accepted_attr","phylum","class","order","family","genus","subgenus_name","subgenus_reso","primary_reso","species_reso","phylum_no","class_no","order_no","family_no","genus_no","subgenus_no","identified_no","accepted_no"
"Pseudaelurus romieviensis",NA,"Pseudaelurus romieviensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Pseudaelurus",NA,NA,NA,NA,33815,36651,36905,41045,41072,NA,136633,136633
"Protictitherium gaillardi",NA,"Protictitherium gaillardi","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Protictitherium",NA,NA,NA,NA,33815,36651,36905,41020,41034,NA,444053,444053
"Prosansanosmilus n. sp. peregrinus",NA,"Prosansanosmilus peregrinus","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Prosansanosmilus",NA,NA,NA,"n. sp.",33815,36651,36905,41036,41071,NA,94694,94694
"Amphicyon giganteus",NA,"Amphicyon giganteus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,272023,272023
"Pseudocyon ? sansaniensis",NA,"Pseudocyon sansaniensis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Pseudocyon",NA,NA,"?",NA,33815,36651,36905,41266,41294,NA,97846,97846
"Cynelos ? schlosseri",NA,"Cynelos schlosseri","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Cynelos",NA,NA,"?",NA,33815,36651,36905,41266,41275,NA,470358,470358
"Hemicyon stehlini","species not entered","Hemicyon","species","genus",NA,"Chordata","Mammalia","Carnivora","Ursidae","Hemicyon",NA,NA,NA,NA,33815,36651,36905,41301,41314,NA,41314,41314
"Palaeogale minuta",NA,"Palaeogale minuta","species","species",NA,"Chordata","Mammalia","Carnivora","Palaeogalidae","Palaeogale",NA,NA,NA,NA,33815,36651,36905,454419,40968,NA,49650,48859
"Martes sainjoni","species not entered","Martes","species","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Martes",NA,NA,NA,NA,33815,36651,36905,41086,41126,NA,41126,41126
"Martes muncki","species not entered","Martes","species","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Martes",NA,NA,NA,NA,33815,36651,36905,41086,41126,NA,41126,41126
"Protictitherium gaillardi",NA,"Protictitherium gaillardi","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Protictitherium",NA,NA,NA,NA,33815,36651,36905,41020,41034,NA,444053,444053
"Pseudaelurus transitorius","species not entered","Pseudaelurus","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Pseudaelurus",NA,NA,NA,NA,33815,36651,36905,41045,41072,NA,41072,41072
"Pseudaelurus lorteti","recombined as","Miopanthera lorteti","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Miopanthera",NA,NA,NA,NA,33815,36651,36905,41045,470151,NA,96582,96582
"Prosansanosmilus perigrinus","species not entered","Prosansanosmilus","species","genus",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Prosansanosmilus",NA,NA,NA,NA,33815,36651,36905,41036,41071,NA,41071,41071
"Ischyrictis bezaniensis","species not entered","Ischyrictis","species","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Ischyrictis",NA,NA,NA,NA,33815,36651,36905,41086,41117,NA,41117,41117
"Mionictis ? artenensis",NA,"Mionictis artenensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mionictis",NA,NA,"?",NA,33815,36651,36905,41086,41138,NA,159269,159269
"Pseudarctos bavaricus",NA,"Pseudarctos bavaricus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Pseudarctos",NA,NA,NA,NA,33815,36651,36905,41266,41293,NA,470363,470363
"Amphicyon giganteus",NA,"Amphicyon giganteus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,272023,272023
"Pseudocyon sansaniensis",NA,"Pseudocyon sansaniensis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Pseudocyon",NA,NA,NA,NA,33815,36651,36905,41266,41294,NA,97846,97846
"Agnotherium grivensis","species not entered","Agnotherium","species","genus",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Agnotherium",NA,NA,NA,NA,33815,36651,36905,41266,41269,NA,41269,41269
"Hemicyon stehlini","species not entered","Hemicyon","species","genus",NA,"Chordata","Mammalia","Carnivora","Ursidae","Hemicyon",NA,NA,NA,NA,33815,36651,36905,41301,41314,NA,41314,41314
"Ursavus brevirhinus",NA,"Ursavus brevirhinus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursavus",NA,NA,NA,NA,33815,36651,36905,41301,41329,NA,52598,52598
"Ischyrictis noueli","species not entered","Ischyrictis","species","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Ischyrictis",NA,NA,NA,NA,33815,36651,36905,41086,41117,NA,41117,41117
"Mionictis artenensis",NA,"Mionictis artenensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mionictis",NA,NA,NA,NA,33815,36651,36905,41086,41138,NA,159269,159269
"Trocharion cf. albanense",NA,"Trocharion albanense","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Trocharion",NA,NA,NA,"cf.",33815,36651,36905,41086,41179,NA,64160,64160
"Potamotherium miocaenicum","species not entered","Potamotherium","species","genus",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Potamotherium",NA,NA,NA,NA,33815,36651,36905,NA,41157,NA,41157,41157
"Pseudaelurus romieviensis",NA,"Pseudaelurus romieviensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Pseudaelurus",NA,NA,NA,NA,33815,36651,36905,41045,41072,NA,136633,136633
"Prosansanosmilus peregrinus",NA,"Prosansanosmilus peregrinus","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Prosansanosmilus",NA,NA,NA,NA,33815,36651,36905,41036,41071,NA,94694,94694
"Amphicyon giganteus",NA,"Amphicyon giganteus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,272023,272023
"Cynelos schlosseri",NA,"Cynelos schlosseri","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Cynelos",NA,NA,NA,NA,33815,36651,36905,41266,41275,NA,470358,470358
"Ursavus brevirhinus",NA,"Ursavus brevirhinus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursavus",NA,NA,NA,NA,33815,36651,36905,41301,41329,NA,52598,52598
"Palaeogale hyaenoides",NA,"Palaeogale hyaenoides","species","species",NA,"Chordata","Mammalia","Carnivora","Palaeogalidae","Palaeogale",NA,NA,NA,NA,33815,36651,36905,454419,40968,NA,174782,174782
"Martes sainjoni","species not entered","Martes","species","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Martes",NA,NA,NA,NA,33815,36651,36905,41086,41126,NA,41126,41126
"Martes muncki","species not entered","Martes","species","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Martes",NA,NA,NA,NA,33815,36651,36905,41086,41126,NA,41126,41126
"Ischyrictis noueli","species not entered","Ischyrictis","species","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Ischyrictis",NA,NA,NA,NA,33815,36651,36905,41086,41117,NA,41117,41117
"Mionictis artenensis",NA,"Mionictis artenensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mionictis",NA,NA,NA,NA,33815,36651,36905,41086,41138,NA,159269,159269
"Cynotherium sardous",NA,"Cynotherium sardous","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynotherium",NA,NA,NA,NA,33815,36651,36905,41189,94468,NA,94469,94469
"Potamotherium miocenicum",NA,"Potamotherium miocenicum","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Potamotherium",NA,NA,NA,NA,33815,36651,36905,NA,41157,NA,64159,64159
"Semigenetta elegans","species not entered","Semigenetta","species","genus",NA,"Chordata","Mammalia","Carnivora","Viverridae","Semigenetta",NA,NA,NA,NA,33815,36651,36905,40997,41013,NA,41013,41013
"Herpestes aurelianensis","species not entered","Herpestes","species","genus",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes",NA,NA,NA,NA,33815,36651,36905,199984,41005,NA,41005,41005
"Pseudaelurus lorteti","recombined as","Miopanthera lorteti","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Miopanthera",NA,NA,NA,NA,33815,36651,36905,41045,470151,NA,96582,96582
"Prosansanosmilus peregrinus",NA,"Prosansanosmilus peregrinus","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Prosansanosmilus",NA,NA,NA,NA,33815,36651,36905,41036,41071,NA,94694,94694
"Pseudocyon sansaniensis",NA,"Pseudocyon sansaniensis","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Pseudocyon",NA,NA,NA,NA,33815,36651,36905,41266,41294,NA,97846,97846
"Ischyrictis anatolicus","species not entered","Ischyrictis","species","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Ischyrictis",NA,NA,NA,NA,33815,36651,36905,41086,41117,NA,41117,41117
"Pseudailurus sp.",NA,"Pseudailurus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Percrocutidae","Pseudailurus",NA,NA,NA,NA,33815,36651,36905,95348,95350,NA,95350,95350
"Machairodontinae indet.",NA,"Machairodontinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Felidae",NA,NA,NA,NA,NA,33815,36651,36905,41045,NA,NA,65494,65494
"Percrocuta abessalomi","species not entered","Percrocuta","species","genus",NA,"Chordata","Mammalia","Carnivora","Percrocutidae","Percrocuta",NA,NA,NA,NA,33815,36651,36905,95348,41032,NA,41032,41032
"Megamphicyon giganteus",NA,"Megamphicyon giganteus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Megamphicyon",NA,NA,NA,NA,33815,36651,36905,41266,494669,NA,494682,494682
"Amphicyon cf. cooperi","species not entered","Amphicyon","species","genus",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,"cf.",33815,36651,36905,41266,41271,NA,41271,41271
"Alopecocyon leptorhynchus","species not entered","Alopecocyon","species","genus",NA,"Chordata","Mammalia","Carnivora","Ailuridae","Alopecocyon",NA,NA,NA,NA,33815,36651,36905,96674,41192,NA,41192,41192
"Amphicyon major",NA,"Amphicyon major","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,56987,56987
"Amphicyon cf. steinheimensis","species not entered","Amphicyon","species","genus",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,"cf.",33815,36651,36905,41266,41271,NA,41271,41271
"Hemicyon sansaniensis",NA,"Hemicyon sansaniensis","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Hemicyon",NA,NA,NA,NA,33815,36651,36905,41301,41314,NA,339538,339538
"Hemicyon cf. sansaniensis",NA,"Hemicyon sansaniensis","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Hemicyon",NA,NA,NA,"cf.",33815,36651,36905,41301,41314,NA,339538,339538
"Pseudaelurus sp.",NA,"Pseudaelurus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Pseudaelurus",NA,NA,NA,NA,33815,36651,36905,41045,41072,NA,41072,41072
"Sansanosmilus jourdani",NA,"Sansanosmilus jourdani","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Sansanosmilus",NA,NA,NA,NA,33815,36651,36905,41036,41075,NA,470149,470149
"Trocharion albanense",NA,"Trocharion albanense","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Trocharion",NA,NA,NA,NA,33815,36651,36905,41086,41179,NA,64160,64160
"Ursavus brevirhinus",NA,"Ursavus brevirhinus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursavus",NA,NA,NA,NA,33815,36651,36905,41301,41329,NA,52598,52598
"Mustelidae indet.",NA,"Mustelidae","family","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,NA,33815,36651,36905,41086,NA,NA,41086,41086
"Trocharion albanense",NA,"Trocharion albanense","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Trocharion",NA,NA,NA,NA,33815,36651,36905,41086,41179,NA,64160,64160
"Phocidae indet.",NA,"Phocidae","family","family",NA,"Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,33815,36651,36905,41186,NA,NA,41186,41186
"Hemicyon goeriachensis","species not entered","Hemicyon","species","genus",NA,"Chordata","Mammalia","Carnivora","Ursidae","Hemicyon",NA,NA,NA,NA,33815,36651,36905,41301,41314,NA,41314,41314
"Lartetictis dubia",NA,"Lartetictis dubia","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lartetictis",NA,NA,NA,NA,33815,36651,36905,41086,381181,NA,381182,381169
"Potamotherium miocenicum",NA,"Potamotherium miocenicum","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Potamotherium",NA,NA,NA,NA,33815,36651,36905,NA,41157,NA,64159,64159
"Pristiphoca vetusta","nomen dubium","Phocidae","species","family",NA,"Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,33815,36651,36905,41186,NA,NA,365074,41186
"Pseudaelurus lorteti","recombined as","Miopanthera lorteti","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Miopanthera",NA,NA,NA,NA,33815,36651,36905,41045,470151,NA,96582,96582
"Pseudaelurus turnauensis","recombined as","Styriofelis turnauensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Styriofelis",NA,NA,NA,NA,33815,36651,36905,41045,379128,NA,136632,136632
"Pseudarctos aff. bavaricus",NA,"Pseudarctos bavaricus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Pseudarctos",NA,NA,NA,"aff.",33815,36651,36905,41266,41293,NA,470363,470363
"Trocharion albanense",NA,"Trocharion albanense","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Trocharion",NA,NA,NA,NA,33815,36651,36905,41086,41179,NA,64160,64160
"Ursavus brevirhinus",NA,"Ursavus brevirhinus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursavus",NA,NA,NA,NA,33815,36651,36905,41301,41329,NA,52598,52598
"Mustelidae indet.",NA,"Mustelidae","family","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,NA,33815,36651,36905,41086,NA,NA,41086,41086
"Pristiphoca vetusta","nomen dubium","Phocidae","species","family",NA,"Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,33815,36651,36905,41186,NA,NA,365074,41186
"Viverrinae indet.",NA,"Viverrinae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Viverridae",NA,NA,NA,NA,NA,33815,36651,36905,40997,NA,NA,72213,72213
"Pristiphoca vetusta","nomen dubium","Phocidae","species","family",NA,"Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,33815,36651,36905,41186,NA,NA,365074,41186
"Eomellivora wimani",NA,"Eomellivora wimani","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Eomellivora",NA,NA,NA,NA,33815,36651,36905,41086,41109,NA,46169,46169
"Ictitherium viverrinum",NA,"Ictitherium viverrinum","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Ictitherium",NA,NA,NA,NA,33815,36651,36905,41020,41026,NA,81772,81772
"Amphicyon sp.",NA,"Amphicyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,41271,41271
"cf. Panthera pardus",NA,"Panthera pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,"cf.",NA,33815,36651,36905,41045,41066,NA,72185,104158
"Daphoenodon superbus",NA,"Daphoenodon superbus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Daphoenodon",NA,NA,NA,NA,33815,36651,36905,41266,41278,NA,45539,44000
"Thalassoleon n. sp. inouei",NA,"Thalassoleon inouei","species","species",NA,"Chordata","Mammalia","Carnivora","Otariidae","Thalassoleon",NA,NA,NA,"n. sp.",33815,36651,36905,96678,36951,NA,96086,96086
"Cynarctoides acridens",NA,"Cynarctoides acridens","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynarctoides",NA,NA,NA,NA,33815,36651,36905,41189,41205,NA,45433,45441
"Phlaocyon sp.",NA,"Phlaocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Phlaocyon",NA,NA,NA,NA,33815,36651,36905,41189,41235,NA,41235,41235
"cf. Desmocyon sp.",NA,"Desmocyon","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Desmocyon",NA,NA,"cf.",NA,33815,36651,36905,41189,41208,NA,41208,41208
"Cephalogale sp.",NA,"Cephalogale","genus","genus",NA,"Chordata","Mammalia","Carnivora","Ursidae","Cephalogale",NA,NA,NA,NA,33815,36651,36905,41301,41310,NA,41310,41310
"Zodiolestes sp.",NA,"Zodiolestes","genus","genus",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Zodiolestes",NA,NA,NA,NA,33815,36651,36905,41086,41185,NA,41185,41185
"Palaeogale sp.",NA,"Palaeogale","genus","genus",NA,"Chordata","Mammalia","Carnivora","Palaeogalidae","Palaeogale",NA,NA,NA,NA,33815,36651,36905,454419,40968,NA,40968,40968
"aff. Canis sp.",NA,"Canis","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,"aff.",NA,33815,36651,36905,41189,41198,NA,41198,41198
"Borophagus sp.",NA,"Borophagus","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Borophagus",NA,NA,NA,NA,33815,36651,36905,41189,41196,NA,41196,41196
"Canidae indet.",NA,"Canidae","family","family",NA,"Chordata","Mammalia","Carnivora","Canidae",NA,NA,NA,NA,NA,33815,36651,36905,41189,NA,NA,41189,41189
"Mustela erminea",NA,"Mustela erminea","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela",NA,NA,NA,NA,33815,36651,36905,41086,41139,NA,48848,48848
"Smilodon fatalis",NA,"Smilodon fatalis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Smilodon",NA,NA,NA,NA,33815,36651,36905,41045,41079,NA,51613,46515
"Cynelos cf. helbingi",NA,"Cynelos helbingi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Cynelos",NA,NA,NA,"cf.",33815,36651,36905,41266,41275,NA,470359,470359
"Amphicyon cf. major",NA,"Amphicyon major","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,"cf.",33815,36651,36905,41266,41271,NA,56987,56987
"Thaumastocyoninae indet.",NA,"Thaumastocyoninae","subfamily","subfamily",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae",NA,NA,NA,NA,NA,33815,36651,36905,41266,NA,NA,96581,96581
"Amphicyonidae indet.",NA,"Amphicyonidae","family","family",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae",NA,NA,NA,NA,NA,33815,36651,36905,41266,NA,NA,41266,41266
"Pseudaelurus cf. lorteti","recombined as","Miopanthera lorteti","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Miopanthera",NA,NA,NA,"cf.",33815,36651,36905,41045,470151,NA,96582,96582
"Mustelidae indet.",NA,"Mustelidae","family","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,NA,33815,36651,36905,41086,NA,NA,41086,41086
"Amphicyon major",NA,"Amphicyon major","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,56987,56987
"Mustelidae indet.",NA,"Mustelidae","family","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,NA,33815,36651,36905,41086,NA,NA,41086,41086
"Amphicyonidae indet.",NA,"Amphicyonidae","family","family",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae",NA,NA,NA,NA,NA,33815,36651,36905,41266,NA,NA,41266,41266
"Prosansanosmilus peregrinus",NA,"Prosansanosmilus peregrinus","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Prosansanosmilus",NA,NA,NA,NA,33815,36651,36905,41036,41071,NA,94694,94694
"Mustelidae indet.",NA,"Mustelidae","family","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,NA,33815,36651,36905,41086,NA,NA,41086,41086
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Carnivora indet.",NA,"Carnivora","order","order",NA,"Chordata","Mammalia","Carnivora",NA,NA,NA,NA,NA,NA,33815,36651,36905,NA,NA,NA,36905,36905
"Amphicyonidae indet.",NA,"Amphicyonidae","family","family",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae",NA,NA,NA,NA,NA,33815,36651,36905,41266,NA,NA,41266,41266
"cf. Cynelos helbingi",NA,"Cynelos helbingi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Cynelos",NA,NA,"cf.",NA,33815,36651,36905,41266,41275,NA,470359,470359
"Viverridae indet.",NA,"Viverridae","family","family",NA,"Chordata","Mammalia","Carnivora","Viverridae",NA,NA,NA,NA,NA,33815,36651,36905,40997,NA,NA,40997,40997
"Mustelidae indet.",NA,"Mustelidae","family","family",NA,"Chordata","Mammalia","Carnivora","Mustelidae",NA,NA,NA,NA,NA,33815,36651,36905,41086,NA,NA,41086,41086
"Phocidae indet.",NA,"Phocidae","family","family",NA,"Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,33815,36651,36905,41186,NA,NA,41186,41186
"Phocidae indet.",NA,"Phocidae","family","family",NA,"Chordata","Mammalia","Carnivora","Phocidae",NA,NA,NA,NA,NA,33815,36651,36905,41186,NA,NA,41186,41186
"Zalophus californianus",NA,"Zalophus californianus","species","species",NA,"Chordata","Mammalia","Carnivora","Otariidae","Zalophus",NA,NA,NA,NA,33815,36651,36905,96678,36954,NA,96087,104991
"Phoca largha",NA,"Phoca largha","species","species",NA,"Chordata","Mammalia","Carnivora","Phocidae","Phoca",NA,NA,NA,NA,33815,36651,36905,41186,36936,NA,80721,80721
"Enhydra lutris",NA,"Enhydra lutris","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Enhydra",NA,NA,NA,NA,33815,36651,36905,41086,41107,NA,46078,48855
"Zalophus californianus",NA,"Zalophus californianus","species","species",NA,"Chordata","Mammalia","Carnivora","Otariidae","Zalophus",NA,NA,NA,NA,33815,36651,36905,96678,36954,NA,96087,104991
"Cynelos n. sp. anubisi","recombined as","Mogharacyon anubisi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Mogharacyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,471975,NA,399776,399776
"Cynelos anubisi","recombined as","Mogharacyon anubisi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Mogharacyon",NA,NA,NA,NA,33815,36651,36905,41266,471975,NA,399776,399776
"Herpestides n. sp. aegypticus",NA,"Herpestides aegypticus","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Herpestides",NA,NA,NA,"n. sp.",33815,36651,36905,NA,41006,NA,97063,97063
"Herpestides aegypticus",NA,"Herpestides aegypticus","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Herpestides",NA,NA,NA,NA,33815,36651,36905,NA,41006,NA,97063,97063
"n. gen. Ketketictis n. sp. solida",NA,"Ketketictis solida","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Ketketictis",NA,NA,"n. gen.","n. sp.",33815,36651,36905,40997,97065,NA,97066,97066
"n. gen. Moghradictis n. sp. nedjema",NA,"Moghradictis nedjema","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Moghradictis",NA,NA,"n. gen.","n. sp.",33815,36651,36905,NA,97072,NA,97073,97073
"Moghradictis nedjema",NA,"Moghradictis nedjema","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Moghradictis",NA,NA,NA,NA,33815,36651,36905,NA,97072,NA,97073,97073
"Canis dirus","recombined as","Aenocyon dirus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Aenocyon",NA,NA,NA,NA,33815,36651,36905,41189,43787,NA,44837,44837
"Chrysocyon brachyurus",NA,"Chrysocyon brachyurus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Chrysocyon",NA,NA,NA,NA,33815,36651,36905,41189,41202,NA,232948,232947
"Pseudalopex gymnocercus",NA,"Pseudalopex gymnocercus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycalopex",NA,NA,NA,NA,33815,36651,36905,41189,424454,NA,83739,83739
"Palaeocyon n. sp. tarijensis","recombined as","Canis tarijensis","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41198,NA,475477,475477
"Protocyon troglodytes",NA,"Protocyon troglodytes","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Protocyon",NA,NA,NA,NA,33815,36651,36905,41189,41238,NA,250733,250733
"Arctotherium n. sp. tarijense",NA,"Arctotherium tarijense","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Arctotherium",NA,NA,NA,"n. sp.",33815,36651,36905,41301,44307,NA,264375,264375
"Arctotherium n. sp. wingei",NA,"Arctotherium wingei","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Arctotherium",NA,NA,NA,"n. sp.",33815,36651,36905,41301,44307,NA,264376,264376
"Nasua sp.",NA,"Nasua","genus","genus",NA,"Chordata","Mammalia","Carnivora","Procyonidae","Nasua",NA,NA,NA,NA,33815,36651,36905,41249,41257,NA,41257,41257
"Conepatus suffocans",NA,"Conepatus suffocans","species","species",NA,"Chordata","Mammalia","Carnivora","Mephitidae","Conepatus",NA,NA,NA,NA,33815,36651,36905,104743,41104,NA,233326,233325
"Felis concolor","recombined as","Puma concolor","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Puma",NA,NA,NA,NA,33815,36651,36905,41045,41073,NA,46513,46513
"Felis yaguaroundi","species not entered","Felis","species","genus",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,NA,33815,36651,36905,41045,41055,NA,41055,41055
"Panthera onca",NA,"Panthera onca","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,49735,46524
"Smilodon populator",NA,"Smilodon populator","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Smilodon",NA,NA,NA,NA,33815,36651,36905,41045,41079,NA,51618,51618
"Protocyon troglodytes",NA,"Protocyon troglodytes","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Protocyon",NA,NA,NA,NA,33815,36651,36905,41189,41238,NA,250733,250733
"Pseudalopex sp.","subjective synonym of","Lycalopex","genus","genus",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycalopex",NA,NA,NA,NA,33815,36651,36905,41189,424454,NA,83738,424454
